[Cu]CCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-7.8605011672989615,0.7580561637878418,4.940933227539063
[Cu]CCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-6.358538383144367,0.6776103973388672,5.084393501281738
[Cu]CCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.994603193510601,0.6683989763259888,5.292773723602295
[Cu]CCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.770146286232038,0.6515576839447021,5.232828617095947
[Cu]CCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.636189006827468,0.6519614458084106,5.37360429763794
[Cu]CCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.5149925563800615,0.6525336503982544,5.50446367263794
[Cu]CCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.416467399971401,0.653250515460968,5.615094661712647
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.349619423415211,0.654876708984375,5.709404468536377
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.323634746724974,0.6312608122825623,5.336583137512207
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.265232168966788,0.6326829195022583,5.41900110244751
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.209625263614104,0.6337459683418274,5.492559909820557
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.158509526029421,0.6346239447593689,5.558502197265625
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.12047894215624,0.6359058618545532,5.618180751800537
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.093493966685312,0.6375335454940796,5.672652721405029
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.1368456499564665,0.6435452103614807,5.730821132659912
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.184481941097713,0.6495797038078308,5.785090446472168
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.228606692513422,0.6551507711410522,5.835045337677002
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.275028533706301,0.6606870889663696,5.882116317749023
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.321673756080235,0.6660624146461487,5.926245212554932
[Cu]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOOC(=O)OC[Au],O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.[Li+],5.0,0.5,25,-5.364940068358814,0.6710582375526428,5.967344284057617
